"Date","Country","Latitude","Lab","LabNo","Area","AreaNum","Notes","pH","OM360","TECM3","PM3","KM3","CaM3","MgM3","NaM3","SM3","Cl","EC12","BM3","FeM3","MnM3","CuM3","ZnM3","AlM3","PB2","PO","NO3N","NH4N"
2015-07-29,"US",43.19,"Brookside","1304-1","g","05","fine fescue",4.6,0.86,8.01,33,45,490,43,42,34,28.33,0.1,0.25,106,31,1.9,4.91,689,30,10,NA,1.8
2015-07-29,"US",43.19,"Brookside","1308-1","t","16","poa/bent",5,2.04,3.97,47,38,219,61,43,20,23.38,0.07,0.24,166,8,1.46,2.8,404,54,13,NA,1.6
2015-07-29,"US",43.19,"Brookside","1306-1","f","06","fine fescue",4.6,0.93,2.86,74,37,125,27,38,31,22.23,0.07,0.21,124,8,2.33,7.32,885,70,16,NA,1.2
2015-07-29,"US",43.19,"Brookside","1305-1","t","09","fine fescue",5.1,1,4.71,63,44,348,40,48,28,18.17,0.07,0.3,107,14,2.41,7.66,845,66,14,NA,0.9
2015-07-29,"US",43.19,"Brookside","1307-1","g","13","poa/bent",5.2,1.21,3.29,37,26,210,50,56,24,36.29,0.08,NA,105,13,5.63,2.14,504,33,9,NA,3
2015-07-29,"US",43.19,"Brookside","1309-1","f","08","poa/bent",5.4,1.68,4.17,55,32,341,67,40,13,26.04,0.05,NA,125,2,0.71,5.38,558,71,12,NA,1.2
2014-08-08,"TH",14.21,"Brookside","1782-1","f","0","Tifway",6.6,0.41,3.21,39,45,334,96,64,25,24.11,0.11,0.44,317,145,0.32,0.63,73,36,6,0.6,2
2014-08-08,"TH",14.21,"Brookside","1781-1","t","0","Paspalum",7.9,0.44,2.88,31,32,393,68,37,10,12.92,0.03,NA,97,20,0.39,0.78,66,24,4,0.7,2.2
2014-08-08,"TH",14.21,"Brookside","1780-1","g","0","Tifeagle",6.7,0.25,2.83,13,25,249,105,89,29,52.5,0.13,NA,59,27,0.56,1.21,66,11,4,NA,2.2
2014-04-28,"US",34.46,"Brookside","0414-1","g","01","bentgrass",5.4,0.58,2.75,36,36,240,33,22,8,1.23,0.02,NA,92,14,2.05,6.5,118,24,9,0.6,4.2
2014-04-28,"US",34.46,"Brookside","0415-1","t","06","419 bermuda",7.1,0.68,1.49,15,29,196,35,19,6,1.47,0.02,NA,100,20,1.22,0.79,191,14,3,1.2,11.6
2014-04-28,"US",34.46,"Brookside","0416-1","f","07","419 bermuda",5.9,8.64,6.5,14,92,800,79,17,10,2.75,0.05,0.4,299,16,1.93,5.29,461,21,5,1.9,10.1
2014-05-14,"US",47.2,"Brookside","0655-1","g","14","fine fescue/colonial bent",6.4,0.44,7.91,19,181,1086,93,31,6,9.02,0.02,NA,120,15,1.07,0.77,378,85,6,0.7,1.5
